Protonema_size,ABA,sample
1.29,0uM,WT
1.28,0uM,WT
1.34,0uM,WT
1.35,0uM,WT
1.15,5uM,WT
1.2,5uM,WT
1.17,5uM,WT
1.16,5uM,WT
1.15,10uM,WT
1.14,10uM,WT
0.98,10uM,WT
0.96,10uM,WT
0.9,50uM,WT
0.6,50uM,WT
0.89,50uM,WT
0.88,50uM,WT
0.55,100uM,WT
0.55,100uM,WT
0.43,100uM,WT
0.43,100uM,WT
0.89,0uM,SuAPL17 OE #7
1.06,0uM,SuAPL17 OE #7
0.84,0uM,SuAPL17 OE #7
0.47,0uM,SuAPL17 OE #7
0.25,0uM,SuAPL17 OE #7
0.79,5uM,SuAPL17 OE #7
0.9,5uM,SuAPL17 OE #7
0.82,5uM,SuAPL17 OE #7
0.99,10uM,SuAPL17 OE #7
0.89,10uM,SuAPL17 OE #7
1.02,10uM,SuAPL17 OE #7
0.3,10uM,SuAPL17 OE #7
0.25,10uM,SuAPL17 OE #7
0.82,50uM,SuAPL17 OE #7
0.72,50uM,SuAPL17 OE #7
0.92,50uM,SuAPL17 OE #7
0.24,50uM,SuAPL17 OE #7
0.25,50uM,SuAPL17 OE #7
0.25,100uM,SuAPL17 OE #7
0.25,100uM,SuAPL17 OE #7
0.25,100uM,SuAPL17 OE #7
0.99,0uM,SuAPL17 OE #8
1.04,0uM,SuAPL17 OE #8
0.79,0uM,SuAPL17 OE #8
0.56,0uM,SuAPL17 OE #8
0.44,0uM,SuAPL17 OE #8
0.63,5uM,SuAPL17 OE #8
0.86,5uM,SuAPL17 OE #8
0.7,5uM,SuAPL17 OE #8
0.59,10uM,SuAPL17 OE #8
0.72,10uM,SuAPL17 OE #8
0.78,10uM,SuAPL17 OE #8
0.34,10uM,SuAPL17 OE #8
0.34,10uM,SuAPL17 OE #8
0.68,50uM,SuAPL17 OE #8
0.69,50uM,SuAPL17 OE #8
0.83,50uM,SuAPL17 OE #8
0.34,50uM,SuAPL17 OE #8
0.34,50uM,SuAPL17 OE #8
0.33,100uM,SuAPL17 OE #8
0.32,100uM,SuAPL17 OE #8
0.35,100uM,SuAPL17 OE #8
0.72,0uM,SuAPL17 OE #9
0.78,0uM,SuAPL17 OE #9
0.66,0uM,SuAPL17 OE #9
0.56,0uM,SuAPL17 OE #9
0.44,0uM,SuAPL17 OE #9
0.72,5uM,SuAPL17 OE #9
0.57,5uM,SuAPL17 OE #9
0.57,5uM,SuAPL17 OE #9
0.43,10uM,SuAPL17 OE #9
0.63,10uM,SuAPL17 OE #9
0.63,10uM,SuAPL17 OE #9
0.34,10uM,SuAPL17 OE #9
0.34,10uM,SuAPL17 OE #9
0.75,50uM,SuAPL17 OE #9
0.72,50uM,SuAPL17 OE #9
0.65,50uM,SuAPL17 OE #9
0.34,50uM,SuAPL17 OE #9
0.34,50uM,SuAPL17 OE #9
0.33,100uM,SuAPL17 OE #9
0.32,100uM,SuAPL17 OE #9
0.29,100uM,SuAPL17 OE #9
